 skb ʿṣīr al-brtqāl ʿli ḥbūbh.	skb al-ḥlīb ʿli ḥbūbh.	0
36	qrʾa al-mlk tūt nāfḏẗ ṭwylẗ ǧdā.	qrʾa ktābā ʿn al-mlk tūt.	0
37	fqd hātfh fī al-ḥdīqẗ.	fqd hātfh fī fm ġrīfīn ūhū ḥīwān ẖrāfī.	1
38	tnāūlt sārẗ kūbāً mn al-māʾ	tnāūlt sārẗ kūbāً mn al-bnzīn	1
39	āḥtfẓ bzǧāǧẗ ʿṣīr fī al-ṯlāǧẗ	āḥtfẓ bālkrsī dāẖl al-ṯlāǧẗ	1
40	qrʾat nmr	qrʾat ktābāً .	0
41	ʾastẖdm al-intrnt fī al-rādīū al-ẖāṣ bī	ʾastẖdm al-intrnt fī hātfī al-mḥmūl	0
42	qādt aṭfālhā ili al-qmr.	qādt aṭfālhā ili al-mlʿb.	0
43	qādt sārẗ al-sīārẗ ili mḥl al-bqālẗ.	qfzt sārẗ bālmẓlẗ mn al-ṭāʾirẗ al-i mḥl al-bqālẗ.	1
44	tsbḥ al-ʾasmāk fī al-ṣḥrāʾ.	tsbḥ al-ʾasmāk fī al-mḥīṭ.	0
45	kān hnāk rǧl īmšī fī al-ṯlǧ.	kān hnāk mẖlūq ǧlīd mīt īmšī fī al-ṯlǧ.	1
46	ʾanā asbḥ tḥt al-ṣnbūr	ʾanā asbḥ fī ḥūḍ al-sbāḥẗ	0
47	šẖṣ īʾakl al-ṭmāṭm	šẖṣ īʾakl al-ǧbāl	1
48	rʾat ǧīn zrāfẗ fī ḥdīqẗ al-ḥīwānāt.	rʾat ǧīn zrāfẗ fī ḥqībthā.	1
49	nstẖdm al-sāʿẗ lmʿrfẗ al-ūqt	nstẖdm al-ktāb lmʿrfẗ al-ūqt	1
50	knt al-ʿb krẗ al-slẗ bālkrẗ	knt al-ʿb krẗ al-slẗ bṣẖrẗ	1
51	ʾaẖḏt mārī klbhā fī nzhẗ	ʾaẖḏt mārī frāšhā fī nzhẗ	1
52	ʾaḥb al-āstmāʿ ili mlfāt tsǧīlāt al-āġānī aṯnāʾ al-tnql	ʾaḥb al-āstmāʿ ili al-ʾalwān aṯnāʾ al-tnql	1
53	ʾarkḍ fī al-hwāʾ	ʾarkḍ ʿli al-ʾarḍ	0
54	kānt hnāk amrʾaẗ šqrāʾ trkb tnīn.	kānt hnāk amrʾaẗ šqrāʾ trkb fīllā fī ifrīqīā.	0
55	hū akl al-ktāb	hū akl tfāḥẗ	0
56	ʾakl ǧāk mānǧū aṣṭnāʿī	ǧāk akl al-mānǧū	0
57	ālṭfl īʾaẖḏ al-ʾalʿāb	ālṭfl īʾaẖḏ al-qāmūs	1
58	kānt al-mdrsẗ mftūḥẗ fī al-ṣīf	kānt al-mdrsẗ mftūḥẗ fī al-ẖrīf	0
59	bkt al-šūkūlātẗ	ḏābt al-šūkūlātẗ	0
60	hnāk iʿlānāt tǧārīẗ fī mntṣf brnāmǧ tlfzīūnī	hnāk ḥflāt šwāʾ fī mntṣf brnāmǧ tlfzīūnī	1
61	kān mtʿbbā fḏhb ili sīārth.	kān mtʿbbā fḏhb ili frāšh.	0
62	fī bʿḍ al-ʾaḥīān ttqīʾa bʿd an tskr	lā ttqīʾa abddā bʿd an tskr	1
63	īmknk astẖdām qndīl al-bḥr liǧrāʾ al-šīkāt.	īmknk astẖdām ḥāml dftr al-šīkāt liǧrāʾ al-šīkāt.	0
64	ālmḥāmūn hm al-ʾašẖāṣ al-ḏīn īlʿbūn al-šẖṣīāt fī al-tlfzīūn aū al-msrḥ	ālmmṯlūn hm al-ʾašẖāṣ al-ḏīn īlʿbūn al-šẖṣīāt fī al-tlfzīūn aū al-msrḥ	0
65	qādt al-zrāfẗ sīārẗ	qād al-rǧl sīārẗ.	0
66	klb ṣġīr īsmi hrīrẗ	klb ṣġīr īsmi ǧrū	0
67	ḏhb al-bbġāʾ llʿml	ḏhb al-rǧl ili al-ʿml	0
68	ābntī tstḥm dāʾimmā fī ḥūḍ al-mṭbẖ ūttǧnb ḥūḍ al-āstḥmām	ābntī tstḥm dāʾimmā fī al-ḥmām ūttǧnb ḥūḍ al-āstḥmām	0
69	qtlh bskīn	qtlh blġẗ brmǧẗ	1
70	tšārkt al-sīnmā mʿhm al-fšār	tšārkwā al-fšār fī al-sīnmā	0
71	ʿādẗ mā īkūn llṭʿām al-fāsd rāʾiḥẗ krīhẗ.	ʿādẗ mā īkūn llṭʿām al-fāsd rāʾiḥẗ zkīẗ.	1
72	mmṯl īrtdī al-ẗ tḥmīṣ al-ẖbz.	īmkn llmmṯl artdāʾ zī lltmṯīl.	0
73	nām al-rǧl fī al-srīr.	nām al-rǧl ʿli al-brkān.	1
74	tḥdṯt ili šbḥ ʿnd al-bāb.	tḥdṯt ili rǧl ʿnd al-bāb.	0
75	ln tri mʿlmmā dāẖl al-mdrsẗ abddā.	stǧd mʿlmīn fī al-mdrsẗ.	0
76	qṭʿt bītzā bāstẖdām skīn.	qṭʿt bītzā bāstẖdām lūḥẗ iʿlānīẗ.	1
77	qāmwā bbnāʾ al-šms	qāmwā bbnāʾ mnzl.	0
78	ūḍʿ al-rǧl bʿḍ al-kʿk fī al-mīkrwuīf	ūḍʿ al-rǧl bʿḍ al-mbānī fī al-mīkrwuīf	1
79	kān hnāk dǧāǧẗ ṭāʾirẗ.	kān hnāk ṭāʾir īṭīr.	0
80	lʿb al-bqrẗ bškl ǧīd llġāīẗ	lʿb al-qīṯārẗ bškl ǧīd llġāīẗ	0
81	iḏā tūqft ḍrbāt qlbk , ītm tṣnīfk ʿli ank mīt.	ʾant mā zlt ʿli qīd al-ḥīāẗ iḏā lm īkn ldīk ḍrbāt qlb.	1
82	qfz ʿlīh al-trāmbūlīn	qfz ʿli al-trāmbūlīn	0
83	ǧūrǧīā tk hī mdrsẗ.	tqūm ǧūrǧīā tk btdrīb al-tnīn	1
84	kānt tḏhb ili al-mdrsẗ fī ḥāflẗ	kānt tḏhb ili al-mdrsẗ fī ṣndūq ġdāʾ	1
85	ālqmr īṣbḥ mmtlʾiًā mrẗ wāḥdẗ tqrībbā fī al-šhr	ītm iṣlāḥ al-qmr ūbhḏh al-ṭrīqẗ īʿūd bālkāml	1
86	dfʿ al-rǧl al-fātūrẗ nqdā.	dfʿ al-rǧl al-fātūrẗ bālmāʾ.	1
87	ʾant tṭbẖ al-ʿšāʾ	ʾant tṭbẖ al-mūsīqi	1
88	tktb al-qṣẗ fī al-ūrq	tktb al-qṣẗ fī al-māʾ	1
89	āltẖzīn fī kl ǧhāz kmbīūtr ġīr mḥdūd.	īmkn llkmbīūtr an īnfd mn al-tẖzīn.	0
90	ībkī al-nās fqṭ ʿndmā īkūnūn ġāḍbīn.	ībkī al-nās ʿndmā īkūnūn ḥzīnīn.	0
91	īḥb mʿẓm al-nās tnāūl al-qhūẗ wālkʿk fī al-ṣbāḥ.	īḥb mʿẓm al-nās tnāūl al-hāmbrġr wālḥlwi fī al-ṣbāḥ.	1
92	ḍrb frānk wyl bḥǧr tsbb lh al-ʾalm	ḍrb frānk wyl būsādẗ tsbbt lh al-ʾalm	1
93	ūḍʿ al-ǧūrb ʿli al-ṭbl.	ūḍʿ ǧūrbbā ʿli qdmh.	0
94	ḥlq asnānh	ḥlqa lḥīth	0
95	ūḍʿt al-ẖrdl ʿli nǧmẗ.	ūḍʿt al-ẖrdl ʿli ḥšīšẗ al-ḏrẗ.	0
96	kānwā īrtdūn aḥḏīẗ llmšī fī al-ẖārǧ	īrtdūn bdlāt ġīlī llẖrūǧ	1
97	kān īʿzf al-mūsīqi	kān īʿzm al-ṯlāǧẗ	1
98	īmkn llšẖṣ zīārẗ al-ʾaqārb.	lā īsmḥ lʾaī šẖṣ bzīārẗ aqārbh.	1
99	ālʾaḥḏīẗ al-ḍīqẗ mrīḥẗ.	ālʾaḥḏīẗ al-ḍīqẗ tsbb al-ānzʿāǧ.	0
100	īʿd anẖfāḍ ḍġṭ al-dm ṭrīqẗ ẖṭīrẗ llnẓām al-ġḏāʾī ūfqdān al-ūzn.	ālnẓām al-ġḏāʾī ṭrīqẗ rāʾiʿẗ lẖfḍ ḍġṭ al-dm ūfqdān al-ūzn.	0
101	īmkn llnbātāt ṣnʿ aǧhzẗ al-kmbīūtr	īmkn llnbātāt an tṣnʿ al-krbūhīdrāt	0
102	īḥb ṣdīqī an īʾakl ṭʿāmmā ġīr nbātī	īḥb ṣdīqī an īʾakl al-slʿ al-ilktrūnīẗ.	1
103	ʾaūrūbā fī frnsā	frnsā fī aūrūbā	0
104	qād sīārth ili lndn	qād sīārth ili al-qmr	1
105	ʿīd mīlād al-ʾaṭfāl hū al-īūm al-ḏī al-tqi fīh wāldīhm.	ʿndmā īūld ṭfl , īsmi ḏlk al-īūm bʿīd mīlādh.	0
106	mḥlāt al-ʾaġnām fī wul mārt	sīdẗ tsūq ili wul mārt	0
107	lā īmknk an tskr mn al-kḥūl.	šrb al-kḥūl īǧʿlk fī ḥālẗ skr.	0
108	ʾaṭlqt al-bndqīẗ rṣāṣẗ	ʾaṭlq ṣnbūr al-nār rṣāṣẗ	1
109	ālġābẗ hī mnṭqẗ mġṭāẗ bālṯlǧ	ālġābẗ hī mnṭqẗ mġṭāẗ bālʾašǧār	0
110	bni al-mbni al-šẖṣ	qām al-šẖṣ bbnāʾ al-mbni	0
111	ālʿšb īnmū.	ālʿšb īġnī.	1
112	qṭʿt al-lḥm bṯlāǧẗ.	qṭʿt al-lḥm bskīn.	0
113	rkḍt ili al-ḥẓīrẗ.	rkḍt ili al-smāʾ.	1
114	lā aḥd īstẖdm al-ʾaqlām llktābẗ.	īktb al-nās mʿ al-ʾaqlām.	0
115	īsbḥ al-ḥūt fī ḥūḍ al-āstḥmām.	īsbḥ al-ḥūt fī al-mḥīṭ.	0
116	ālmlākm ln īlʿb abddā fī mbārāẗ mlākmẗ.	mn al-mrǧḥ an īlqī al-mlākm lkmẗ fī mbārāẗ mlākmẗ.	0
117	kān hnāk šẖṣ īšrb ḥmḍ al-kbrītīk.	kān hnāk šẖṣ īšrb al-māʾ.	0
118	šrbt fnǧān mn al-iṭārāt.	šrbt fnǧān mn al-šāī.	0
119	kān īġīr qnwāt al-tlfzīūn bǧhāz tḥkm ʿn bʿd	kān īġīr al-qnwāt al-tlfzīūnīẗ bmfk al-brāġī	1
120	īsbḥ al-ḥūt ʿbr al-mḥīṭ	sbḥt al-zrāfẗ ʿbr al-mḥīṭ	1
121	nql mdīnẗ lmmtlkāth	nql amtʿth ili mdīnẗ ǧdīdẗ	0
122	ūḍʿ al-ʾāīs krīm fī al-frīzr	ūḍʿ al-ʾāīs krīm fī al-ẖzānẗ	1
123	kānt al-ṭāʾirẗ mlīʾiẗ bālnās	kān al-nās mlīʾīn bālṭāʾirāt	1
124	ḏhbt ili al-mḥl lšrāʾ al-ẖbz	ḏhbt ili al-mtǧr lšrāʾ al-īdīn	1
125	ʾaẖḏ al-rṣīf ili slẗ al-mhmlāt.	ʾaẖrǧ al-qmāmẗ ili al-rṣīf.	0
126	ʾašʿlt al-īs šmʿẗ fī al-līl	ʾaḍāʾt al-īs ṣẖrẗ fī al-līl	1
127	ṭārt ʿli bītzā.	lqd tslmt bītzā.	0
128	īmkn llmūsīqī an īʿzf ʿli al-ẗ mūsīqīẗ	īmkn llmūsīqī iǧrāʾ ʿmlīẗ ǧrāḥīẗ	1
129	nẓft asnānhā bšāḥnẗ.	qāmt btnẓīf asnānhā bfršāẗ.	0
130	dẖl al-bīt al-rǧl	dẖl al-rǧl al-bīt	0
131	ūḍʿ ḥūttā ʿli al-rf.	ūḍʿ brtqālẗ ʿli al-rf	0
132	ǧīl aklt al-mʿālǧ fī ktābhā.	ktb ǧīl ktābbā ʿn al-mʿālǧāt.	0
133	īsāfr bālḥāflẗ llūṣūl ili al-mktb.	īsāfr bwāsṭẗ kmbīūtr mḥmūl llūṣūl ili al-mktb.	1
134	īštrī brġr līʾaklh.	īštrī ktābāً līʾaklh.	1
135	īḏūb al-ǧdūl fī drǧẗ ḥrārẗ al-ġrfẗ.	īḏūb al-ǧlīd fī drǧẗ ḥrārẗ al-ġrfẗ.	0
136	mši ili al-mrīẖ	mši ili al-mtǧr	0
137	rfʿ al-df bīdīh.	rfʿ ǧrār bīdīh.	1
138	qām ǧāk bqṭʿ ǧbl	qām ǧāk bqṭʿ šǧrẗ	0
139	sbḥ fī al-ḥmm al-brkānīẗ	sbḥ fī al-bḥīrẗ	0
140	ūḍʿ bṭāqẗ fī mḥfẓth.	ūḍʿ al-ḥṣān fī mḥfẓth.	1
141	ktbt al-mrʾaẗ al-qṣẗ bqlm rṣāṣ ʿli al-ūrq	ktbt al-mrʾaẗ al-qṣẗ bmlʿqẗ ʿli al-ūrq	1
142	ʾaklt qālb ṭūb	ʾaklt mūzẗ	0
143	ālsīūf tstẖdmnī	ʾanā astẖdm al-sīūf	0
144	ǧāk īqūd sīārth kl īūm	ǧāk īṭīr bsīārth kl īūm	1
145	kānt bḥāǧẗ ili al-ātṣāl bwāldthā lknhā lm ttmkn mn al-ʿṯūr ʿli hātfhā	kānt fī ḥāǧẗ ili al-ātṣāl bʾamhā lknhā lm ttmkn mn al-ʿṯūr ʿli mfātīḥ sīārthā	1
146	qdm al-ẖḍrwāt ʿli al-ʿšāʾ	qdm al-ʿālm ʿli al-ʿšāʾ	1
147	ḏhb ili al-mṭʿm lʾanh īšʿr bālǧūʿ	ḏhb ili ṣālūn al-tǧmīl lʾanh īšʿr bālǧūʿ	1
148	ḍrb al-bīānū	ʿzf al-bīānū	0
149	ālīūm īkūn 30 sāʿẗ	ālīūm īkūn 24 sāʿẗ	0
150	ālkūb mẖṣṣ lḥml sāʾil tẖṭṭ lšrbh.	ālkūb mẖṣṣ lḥml al-ġāz al-ḏī tẖṭṭ lšrbh.	1
151	ʾanā lbst bnfsī	ʾalbs asdāً	1
152	ʾalqi sndān al-ḥdād fī al-slẗ.	ʾalqi al-krẗ fī al-slẗ.	0
153	ʾaḥb akl al-bīḍ al-mslūq	ʾaḥb akl al-ʾāīs krīm al-mṭbūẖ	1
154	ʾakl rāfʿẗ.	ʾakl al-šwāʾ.	0
155	rqṣ ʿli al-mlʿqẗ	rqṣ ʿli al-ʾarḍ	0
156	ālmnāẓr al-ṭbīʿīẗ hī lūḥẗ aū ṣūrẗ trkz ʿli ūǧh al-šẖṣ	ālṣūrẗ hī lūḥẗ aū ṣūrẗ trkz ʿli ūǧh al-šẖṣ	0
157	īfrk al-ṭfl al-ṭīn ʿli ūǧhh.	ʾakl al-ṭfl al-ṭīn mn ʿli ūǧhh.	1
158	qām rǧl btḏwyb al-dǧāǧ bāstẖdām al-mīkrwuīf.	qām rǧl btḏwyb al-dǧāǧ bāstẖdām ūlāʿẗ.	1
159	kān īmšī ʿli al-māʾ	kān īsīr ʿli al-ṭrīq.	0
160	smkẗ qrš tqābl smkẗ.	smkẗ qrš tʾakl smkẗ	0
161	rfʿt ǧrār.	rfʿt krsī.	0
162	tqūm biǧrāʾ mkālmẗ bǧānb al-mūqd.	tqūm biǧrāʾ mkālmẗ hātfīẗ.	0
163	tšrq al-šms fī al-nhār	tšrq al-šms fī al-līl	1
164	ālfīl īʾakl	ālktāb īʾakl	1
165	tktb al-mrʾaẗ fī al-ktāb.	tktb al-mrʾaẗ fī al-smāʾ.	1
166	bld al-dnmārk mūǧūd	bld liegenpoofa mūǧūd	1
167	ln tǧd al-ġbār ʿli sṭḥ al-mktb.	šīʾ īmknk al-ʿṯūr ʿlīh ʿli sṭḥ al-mktb hū al-ġbār.	0
168	ālklāb tʾakl ṭʿām al-klāb.	ālklāb tʾakl aslāk al-tmdīd.	1
169	īḥb al-ʾaṭfāl qrāʾẗ al-qṣṣ	īḥb al-ʾaṭfāl ġsl al-mlābs	1
170	īmknk al-āstḥmām fī ḥūḍ al-āstḥmām	īmknk al-āstḥmām fī al-ẖlāṭ	1
171	kānt al-ʿmlẗ mṣnūʿẗ mn al-fḍẗ	kānt al-ʿmlẗ mṣnūʿẗ mn al-ǧbn	1
172	ītm astẖdām šūkẗ lqṭʿ al-ẖbz	ītm astẖdām skīn al-ẖbz lqṭʿ al-ẖbz	0
173	tṣnʿ al-ʿǧẗ bbīḍ al-ḥṣān.	tṣnʿ al-ʿǧẗ mn bīḍ al-dǧāǧ.	0
174	āstlqīt ʿli al-srīr llnūm	āstlqīt ʿli mīāh al-brkẗ llnūm	1
175	tǧmd al-māʾ ʿli al-mūqd.	ālmāʾ ʿli al-mūqd īġlī.	0
176	nsǧ al-ʿnkbūt šbkẗ.	nsǧ al-ḥṣān šbkẗ	1
177	āštrt māīn krāft llʿb ʿli ǧhāz iks būks al-ẖāṣ bhā	āštrt māīn krāft llʿb mʿ krẗ al-šbkẗ	1
178	ūḍʿt al-hātf fī ḥqībthā.	ūḍʿt mnzl fī mḥfẓthā.	1
179	ʾaẖḏt al-kmbīūtr al-mḥmūl fī al-sīārẗ	ʾaẖḏt dbābẗ qtāl fī al-sīārẗ.	1
180	ūḍʿ al-ḥḏāʾ fī fmh	ūḍʿ al-ḥbūb fī fmh.	0
181	ūḍʿ qbʿẗ ʿli rʾash	ūḍʿ ibrīq šāī ʿli rʾash	1
182	ln tǧd klbbā īḥb akl al-lḥūm abddā.	ḥb al-klb īʾakl al-lḥm.	0
183	hū ftḥ al-bāb	ālbāb futḥ.	1
184	rkb sīārth ʿbr al-mḥīṭ	rkb sīārth ʿbr al-ṭrīq al-srīʿ	0
185	ʾaḍʿ ṣālẗ al-būlīnġ ʿli al-ʾarīkẗ	ʾaḍʿ klbī ʿli al-ʾarīkẗ	0
186	kānt hnāk nmlẗ mlfūfẗ ḥūl šǧrẗ.	kān hnāk ṯʿbān mlfūf ḥūl šǧrẗ.	0
187	lʿb al-bīānū bʾaṣābʿh.	lʿb al-bīānū bsfīnẗ.	1
188	skīn ǧīb ʿdīm al-fāʾidẗ.	skīn al-ǧīb mfīd ǧdā.	0
189	ʾakl šṭīrẗ mn lḥm al-ẖnzīr	ʾakl šṭīrẗ mn lḥm al-ʾasd	1
190	tʿḍ al-qṭẗ krẗ mṭāṭīẗ.	ālqṭẗ ldġẗ sḥābẗ.	1
191	ṣʿdt al-smkẗ ili al-sīārẗ wānṭlqt	ṣʿd al-rǧl ili al-sīārẗ wānṭlq	0
192	klīflānd hī dūlẗ fī amrīkā	ʾaūhāīū dūlẗ fī amrīkā	0
193	lqd qmt bšwy kʿkẗ ẖālīẗ mn al-ġlūtīn.	ẖbzt kʿkẗ ẖālīẗ mn al-ġlūtīn.	0
194	īlʿb al-tns bkrẗ al-slẗ	īlʿb al-tns bkrẗ al-tns	0
195	kān hnāk al-kṯīr mn al-nās īsḥbūn ktlẗ ḍẖmẗ ʿšrẗ aṭnān.	kān hnāk šẖṣ īsḥb ktlẗ ḍẖmẗ ʿšrẗ aṭnān.	1
196	ǧhāz kmbīūtr īūmīā ībʿd al-ʾaṭbāʾ	ʿbārẗ mʿnāhā an akl al-tfāḥ īsāʿd al-insān ʿli al-ṣmūd wālḥfāẓ ʿli al-ṣḥẗ	0
197	ūḍʿt qmīṣā ʿli qdmhā.	ūḍʿt al-ḥḏāʾ ʿli qdmhā.	0
198	sqṭ al-mṭr mn al-smāʾ	ālḥītān tmṭr mn al-smāʾ.	1
199	īmkn llṭfl al-tnfs al-nār.	īmkn llṭfl iġlāq bāb.	0
200	kān hnāk ḥmār ūḥšī īṣṭād asdā.	kān hnāk asd īṣṭād ḥmār ūḥšī.	0
201	ṭārd al-klb al-qṭ.	ṭārd al-klb al-srīr.	1
202	tstẖdm al-mqāyis lqīās al-msāfāt bīn al-ʾašīāʾ	ītm astẖdām al-msṭrẗ lqīās al-msāfẗ bīn al-ʾašīāʾ	0
203	mn al-mrǧḥ an īrkl lāʿb krẗ qdm.	ln īrkl lāʿb krẗ qdm abdāً.	1
204	ḏhb fī ʿṭlẗ ili al-dǧāǧ	ḏhb fī ʿṭlẗ ltrkīā	0
205	ʿndmā īkūn al-ẓlām fī al-mnzl , īmknk tšġīl al-sẖānāt	ʿndmā īkūn al-ẓlām fī al-mnzl , īmknk tšġīl al-ḍūʾ	0
206	tʿd al-ūṣfẗ ṭrīqẗ rāʾiʿẗ lṭhī ūǧbẗ al-ḏwāqẗ ūtǧnb al-ʾaẖṭāʾ al-ṭfīfẗ fī al-mṭbẖ.	in ṭhī ūǧbāt al-ṭʿām hū al-ṭrīqẗ al-ʾaūli lārtkāb al-ʾaẖṭāʾ mṯl ḥrāʾiq al-mṭbẖ.	1
207	īšrb al-bīrẗ fī klb	īšrb al-bīrẗ fī kūb	0
208	ʿādt al-ʿāʾilẗ mn al-qmr	ʿādt al-ʿāʾilẗ mn al-sīnmā	0
209	ālskr ḥlū llbšr	ālskr ḍār llbšr	1
210	kṯīrā mā tmṭr fī lndn	kṯīrā mā tmṭr fī al-ṣḥrāʾ	1
211	tnāūl al-rǧl sīārẗ ʿli al-ʿšāʾ	tnāūl al-rǧl bītzā ʿli al-ʿšāʾ	0
212	ġslt šʿrhā bālšāmbū	ġslt šʿrhā bālḥlīb	1
213	īmkn an īkūn al-mšī fī al-ḥdīqẗ mfīddā lṣḥtk	īmkn an īkūn aẖḏ mkb nfāīāt fī al-ḥdīqẗ mfīddā lṣḥtk	1
214	šīʾ tǧdh fī dūrẗ al-mīāh hū zmlāʾ al-ʿml	šīʾ tǧdh fī dūrẗ al-mīāh hū dīnāṣūr ḥī	1
215	qfzt fī mīāh al-brkẗ.	qfzt fī māʾ kūb.	1
216	tʿīš fī mnzl.	tʿīš fī krẗ ṯlǧīẗ.	1
217	ǧūn īʿzf ʿli al-bīānū.	ǧūn īʿzf al-ḥlīb.	1
218	lā īmknk trṭīb nfsk bšrb al-māʾ.	ālnās īšrbūn al-māʾ ltrṭīb anfshm.	0
219	ʾatnāūl dwāʾī	dwāʾī īʾaẖḏnī	1
220	sḥb al-māʾ mn al-zǧāǧẗ.	sḥb mrūḥẗ mn al-zǧāǧẗ.	1
221	ġdāً hū īūm al-ǧmʿh	ġdā zǧāǧẗ māʾ.	1
222	ṭhī srīr fī al-mqlāẗ.	ṭhī al-ḥlīb fī al-mqlāẗ.	0
223	lā īmkn tnẓīf al-ʾaṭbāq al-mtsẖẗ fī ġsālẗ al-ṣḥūn.	īmkn tnẓīf al-ʾaṭbāq al-mtsẖẗ fī ġsālẗ al-ṣḥūn.	0
224	ūḍʿ qṭẗ fī mǧls al-ūzrāʾ.	ūḍʿ smkẗ qrš fī mǧls al-ūzrāʾ.	1
225	ālftāẗ tḥb akl al-ḥlwyāt.	ālftāẗ tḥb akl al-blāstīk.	1
226	nbāḥ al-qṭẗ ʿli ʿāml al-brīd.	nbḥ al-klb ʿli sāʿī al-brīd.	0
227	iḏā knt tšrb al-kṯīr fī al-ḥānẗ sūf tṣbḥ ṯmlā	iḏā knt qbl an tḏhb ili al-ḥānẗ ūtšrb al-kṯīr , ṯm bʿd ḏlk tkūn fī ḥālẗ skr	1
228	lʿbt al-mrʾaẗ al-tlfzīūn	lʿbt al-mrʾaẗ krẗ al-qdm	0
229	īṭīr al-nsr ʿmīqًā fī al-mḥīṭ	ṭār al-nsr ʿālīā fī al-smāʾ	0
230	ḏhbt ili al-ḥdīqẗ īūm al-ʾaḥd	ḏhbt ili al-qmr īūm al-ʾaḥd	1
231	200 māʾiẗ	100 māʾiẗ	0
232	rkḍt fī al-mḍmār.	rkḍt fī al-ẖzānẗ.	1
233	šrb ʿṣīr al-tfāḥ	kān īšrb al-ūrq	1
